ID,Type,Sujet,Background,Texte,Texte_Supp,Choix_insecables,Cout_Elec_Env_Popu,Trigger_next
0,texteBoutonSimple,Votre mission,centrale,"Énergies éolienne, solaire et hydroélectrique : l’heure des choix a sonné. Vous succédez à Sophie Brochu comme p-d.g. d’Hydro-Québec. 
<br><br>
Le gouvernement de François Legault s’est engagé à <a href=""https://www.ledevoir.com/environnement/589487/le-quebec-sera-carboneutre-en-2050-promet-le-gouvernement-legault"" target=""_blank"">atteindre la carboneutralité en 2050</a>. Votre rôle est central pour permettre au Québec de garder le cap sur ses cibles climatiques.",,,,1
1,texteBoutonSimple,Votre mission,centrale,"Vous avez deux mandats de cinq ans pour équilibrer l’offre et la demande d’électricité, qui augmentera de 25&nbsp;TWh. Attention à ne pas faire déroger le Québec à ses engagements et à conserver une bonne cote de satisfaction auprès de la population.
<br><br>
Votre budget est de 50&nbsp;jetons. Prendrez-vous les bonnes décisions?",,,,Q1
Q1,Repartition,Question 1 / 8,pylone,"La demande d’électricité <a href=""https://www.ledevoir.com/politique/773141/le-gouvernement-depose-son-projet-de-loi-pour-plafonner-les-tarifs-d-hydro-quebec"" target=""_blank"">va augmenter</a> au cours des dix prochaines années. Quels projets financez-vous pour augmenter la production? Vous pouvez dépenser un maximum de 25&nbsp;jetons.",,"Barrage hydroélectrique:
Parcs éoliens:
Centrale nucléaire:
Centrales solaires","-13_9_0_-1;
-6_4_1_0;
-8_6_-5_-5;
-2_1_1_1;","Q1-1;
Q1-2;
Q1-3;
Q1-4_Q2"
Q1-1,Carte,Barrage hydroélectrique,pylone,Des citoyens vivant à proximité des rivières ciblées par vos études préliminaires s'inquiètent de votre décision. Cliquez sur les cours d'eau ci-dessous pour connaître les défis qui vous y attendent.,"Depuis que la Côte-Nord a été nommée comme cible potentielle il y a une dizaine d'années, des Innus et des élus de la région ont promis d'y bloquer <a href=""https://www.ledevoir.com/environnement/753288/pas-question-de-sacrifier-la-riviere-magpie-previennent-des-innus-et-elus-de-la-cote-nord"" target=""_blank"">tout futur projet de barrage</a>. Après avoir obtenu le statut de « personnalité juridique » pour la rivière, en 2021, ils tentent maintenant de l’inscrire au registre d'aires protégées.;
La rivière du Petit Mécatina, située à près de 400 km à l’est de Sept-Îles, a le potentiel d'alimenter annuellement environ 250 000 résidences. Mais pour construire deux centrales, comme évoqué dans le passé, il faudrait <a href=""https://www.ledevoir.com/environnement/787942/hydro-quebec-etudie-le-potentiel-de-la-riviere-du-petit-mecatina"" target=""_blank"">inonder un territoire de 228 km²</a>, soit la moitié de la superficie de l’île de Montréal.;
Le barrage de Gull Island, dans le fleuve Chruchill, serait la solution la plus rentable pour le Québec. Elle nécessiterait toutefois une entente au préalable avec le gouvernement de Terre-Neuve-et-Labrador. Des communautés innues locales menacent aussi de bloquer la construction du barrage en passant par les tribunaux.","Rivière Magpie:
Rivière du Petit Mécatina:
Fleuve Churchill",,Q2
Q1-2,Carte,Parcs éoliens,pylone,Des citoyens des régions où vous comptez installer ces nouveaux parcs s'inquiètent de la pollution visuelle et sonore que les éoliennes pourraient entraîner. Cliquez sur les territoires ciblés pour connaître les défis qui vous y attendent.,"Environ 200 éoliennes seraient construites dans les MRC de La Côte-de-Beaupré et de Charlevoix. Ses promoteurs, Énergir et Boralex, ont <a href=""https://www.ledevoir.com/environnement/777995/environnement-quand-l-eolien-risque-de-menacer-des-especes-en-peril"" target=""_blank"">mal évalué les répercussions potentielles du projet sur la faune</a>, notamment sur certaines espèces d’oiseaux, de chauves-souris et pour le caribou forestier.;
Les projets éoliens ne sont pas les bienvenus dans la région : c’est le message qu’ont envoyé de nombreux agriculteurs de la Montérégie, en 2015, en manifestant derrière le volant de leurs tracteurs. L'implantation d'une éolienne requiert <a href=""https://www.ledevoir.com/economie/773989/energie-ces-eoliennes-qui-pousseront-dans-le-jardin-des-quebecois"" target=""_blank"">une superficie d'un hectare</a>.;
Devant la croissance rapide des MRC des Pays-d’en-Haut et des Laurentides, le réseau d’Hydro-Québec peine à répondre à la demande d’électricité. La population locale est pourtant <a href=""https://www.ledevoir.com/societe/541262/st-adolphe-d-howard-un-gachis-signe-hydro-quebec"" target=""_blank"">très mobilisée contre l’ajout de lignes électriques</a>, un frein majeur à l’instauration d’un parc éolien.;","Projets «Des Neiges»:
Saint-Cyprien-de-Napierville:
Saint-Adolphe-d’Howard",,Q2
Q1-3,texteBoutonSimple,Centrale nucléaire,pylone,"Votre décision de relancer le nucléaire au Québec déclenche un tollé à cause du manque de sécurité des centrales et de la question <a href=""https://www.ledevoir.com/environnement/715428/a-chalk-river-la-preuve-du-stockage-de-dechets-radioactifs-reste-a-faire"" target=""_blank"">des déchets radioactifs</a>, qui ne se dissolvent pas dans la nature. Le CA d'Hydro-Québec vous avertit : vous n'êtes qu'à un poil d'être démis de vos fonctions.",,,,Q2
Q1-4,texteBoutonSimple,Centrales solaires,pylone,"L’installation de panneaux solaires est moins controversée que la création de barrages hydroélectriques et de parcs éoliens, particulièrement lorsque ces panneaux sont posés sur des toits. Le Québec risque toutefois de manquer d’électricité d’ici la fin de votre mandat – particulièrement en soirée et l'hiver, puisque l'ensoleillement est limité.",,,,Q2
Q2,ChoixReponse,Question 2 / 8,pylone,Plusieurs de vos centrales hydroélectriques approchent de leur fin de vie utile. Souhaitez-vous lancer une modernisation généralisée du réseau d'ici la fin de votre premier mandat?,,"Moderniser le réseau en&nbsp;entier:
Remplacer uniquement les turbines défectueuses","-6_2_2_0;
-1_0_0_0;",Q2-2
Q2-2,texteBoutonSimple,Modernisation,pylone,"Vous avez beaucoup de pain sur la planche&nbsp;: ajout et réfection de turbines, construction de nouvelles lignes de transport, optimisation du réseau de distribution... Le réseau actuel sera pleinement optimisé d'ici la fin de votre premier mandat.",,,,Q3
Q3,ChoixReponse,Question 3 / 8,pylone,"Au Québec, le chauffage des maisons correspond à la moitié de l'énergie consommée par les ménages. Comment réduisez-vous la demande de vos clients résidentiels lors des grands froids?",,"Subventionner plus largement les travaux d’isolation des&nbsp;maisons:
Faire payer les excès d’utilisation en période de&nbsp;pointe:
Subventionner l’achat de&nbsp;thermopompes","-2_2_1_1;
0_0_1_0;
-1_1_1_1;","Q4;
Q3-2;
Q3-3"
